field_numb,latitude_IG,longitud_IG
RZUA01,3.55586,-73.411659
RZUA02,3.5522694,-73.4116585
RZUA03b,3.5487842,-73.41152
RZUA04,3.5449814,-73.4115144
RZUA05,3.541357,-73.4115714
RZUA06,3.5378482,-73.4114886
RZUA07,3.53451,-73.4113688
RZUA08,3.5306852,-73.4116395
RZUA09,3.5270875,-73.4120533
RZUA10,3.5232767,-73.4117267
RZUB01,3.5558748,-73.4080305
RZUB03,3.548788,-73.4079323
RZUB04,3.5452143,-73.408125
RZUB05,3.5414035,-73.4080353
RZUB06,3.5377706,-73.4073639
RZUB07,3.5339204,-73.4079365
RZUB08,3.5305841,-73.4078713
RZUB09,3.5269836,-73.4079213
RZUB10,3.5235147,-73.4083064
RZUB11,3.520385,-73.4076433
RZUC01,3.5556609,-73.4046697
RZUC02,3.5522801,-73.4042293
RZUC03,3.5486698,-73.4044693
RZUC05,3.5414907,-73.4043366
RZUC06,3.537707,-73.4043351
RZUC07,3.5340425,-73.4044158
RZUC08,3.5306657,-73.404327
RZUC09,3.5269262,-73.4042486
RZUC10,3.5234838,-73.4041044
RZUC11,3.5197399,-73.4044419
RZUC12,3.515825,-73.40463
RZUD01M,3.5557621,-73.4007675
RZUD02,3.5526071,-73.400668
RZUD03,3.5484844,-73.400941
RZUD04,3.5449771,-73.4008138
RZUD05,3.5413791,-73.4013883
RZUD06,3.5341646,-73.4007694
RZUD07,3.5341718,-73.4007314
RZUD08,3.5303421,-73.4009072
RZUD09,3.5269333,-73.4008
RZUD10,3.5231568,-73.400679
RZUD11,3.5199244,-73.4007633
RZUD12,3.5160464,-73.4007745
RZUD13,3.5125133,-73.4008033
RZUE01,3.5561279,-73.3972735
RZUE02,3.5522013,-73.3974511
RZUE03,3.5487094,-73.3972194
RZUE04,3.5449914,-73.3972399
RZUE05,3.5417191,-73.3970045
RZUE06,3.5376399,-73.3972562
RZUE07,3.5342635,-73.3972241
RZUE08,3.5302745,-73.3973067
RZUE09,3.5270035,-73.3969894
RZUE10,3.5231737,-73.3970715
RZUE11,3.5199658,-73.3971929
RZUE12,3.5160315,-73.3972121
RZUE13,3.5123433,-73.3969633
RZUF02,3.5524314,-73.3935531
RZUF03,3.5489585,-73.3935549
RZUF04,3.5450633,-73.393795
RZUF05,3.5415933,-73.39329
RZUF06,3.5378833,-73.393565
RZUF07,3.5341039,-73.3937334
RZUF08,3.5306064,-73.3935467
RZUF09,3.5270288,-73.3936281
RZUF10,3.523387,-73.3934064
RZUF11,3.5195729,-73.3934394
RZUF12,3.5161824,-73.3934387
RZUF13,3.5124373,-73.3936551
RZUG02,3.5524117,-73.390155
RZUG03,3.54856,-73.39011
RZUG04,3.545015,-73.38988
RZUG05,3.5413817,-73.3900267
RZUG06,3.5376934,-73.3899504
RZUG07,3.5342088,-73.3901217
RZUG08,3.5306671,-73.3899898
RZUG09,3.5269582,-73.3900327
RZUG10,3.5233018,-73.3896975
RZUG11,3.519165,-73.389476
RZUG12,3.5159883,-73.3899372
RZUG13,3.512642,-73.389965
RZUH02,3.5524467,-73.3862667
RZUH03,3.5489483,-73.3857683
RZUH04,3.5448817,-73.386605
RZUH05,3.5413297,-73.3863204
RZUH06,3.537977,-73.3863511
RZUH07,3.5342654,-73.3864111
RZUH08,3.5305017,-73.3865267
RZUH09,3.5271719,-73.386423
RZUH10,3.5235094,-73.3865415
RZUH11,3.5195896,-73.3862501
RZUH12,3.5160314,-73.3864581
RZUH13,3.5125106,-73.3863978
